size,mflop
31,3671.12
32,3625.02
96,4135.22
97,3914.58
127,4990.27
128,4174.9
129,3951.45
191,4249.34
192,4260.89
229,4247.72
255,4316.53
256,4143.63
257,4148.26
319,4360.51
320,4970.14
321,4194.07
417,4388.35
479,4009.82
480,4050.22
511,4176.35
512,3900.2
639,5235.65
640,4310.14
767,4538.75
768,4291.77
769,4499.43
1023,4496.19
1024,2615.44
1025,4172.94
1525,4380.52
1526,4319.18
1527,4342.29
