size,mflop
31,3039.5
32,3168.18
96,3681.36
97,3320.15
127,3417.72
128,3717.63
129,3281.8
191,3357.55
192,3738.31
229,3220.89
255,3043.61
256,3240.01
257,2953.74
319,3025.97
320,3304.91
321,3052.79
417,3133.98
479,3086.34
480,3388.56
511,3139.31
512,3326.4
639,3119.47
640,3387.53
767,3188.23
768,3392.21
769,3169.69
1023,3094.19
1024,3135.57
1025,3089.59
1525,2561.04
1526,2749.28
1527,2558.92
