size,mflop
31,7009.12
32,6563.31
96,6597.35
97,6623.78
127,6761.79
128,6652.37
129,6686.07
191,6723.99
192,6597.68
229,6605.07
255,6649.24
256,6639.03
257,6643.14
319,6687.07
320,6652.93
321,6635.31
417,6538.73
479,6570.23
480,6457.13
511,6522.2
512,6486.4
639,6547.29
640,6491.3
767,6541.71
768,6406.47
769,6523.63
1023,6551.39
1024,6562.3
1025,6556.81
1525,6552.71
1526,6502.27
1527,6542.64
