size,mflop
31,19362.9
32,66159
96,57922.7
97,52138.3
127,39363.9
128,58726
129,54172.8
191,45839.3
192,60510.9
229,54578.4
255,47987.7
256,59323
257,56429.1
319,49896.1
320,59233
321,57627.7
417,48435.3
479,46415.5
480,50563.6
511,42464
512,26102.6
639,43914.5
640,47513.6
767,44146.7
768,46679.4
769,43901
1023,41682.6
1024,25724.6
1025,42361.5
1525,47591.7
1526,48650.1
1527,46743.9
