size,mflop
31,7395.53
32,9727.32
96,13593.1
97,13102.9
127,12772.5
128,13710.9
129,13515.1
191,13565.1
192,14484.3
229,14443.4
255,14333.9
256,14717.7
257,14397.9
319,14445.4
320,15179.9
321,15005.7
417,15335.2
479,15167.2
480,15706.7
511,14886.5
512,14562.9
639,15229.4
640,15507.5
767,15206.8
768,15591.7
769,15518
1023,15156.3
1024,14695.7
1025,15179.9
1525,15840.8
1526,15829
1527,15748.9
