size,mflop
31,18816.4
32,39776
96,41595.3
97,25097.4
127,28408.7
128,40106.4
129,36975
191,32725.9
192,42233.8
229,35955
255,33665.4
256,39126.9
257,36264.8
319,31657.2
320,41549.4
321,35977.7
417,35350.9
479,33778.4
480,38735.4
511,31349.1
512,34838.4
639,27683.8
640,29240.2
767,27135.1
768,29293.6
769,27879.4
1023,25559.2
1024,29167.7
1025,26756
1525,25987.9
1526,26820.9
1527,26351.8
