size,mflop
31,6239.8
32,5935.32
96,3494.88
97,3495.38
127,3367.57
128,1939.31
129,3334.78
191,3179.06
192,2102.91
229,2988.56
255,2852.08
256,2135.34
257,2760.25
319,2522.94
320,2044.88
321,2564.29
417,2355.76
479,2183.77
480,1937.02
511,2002.86
512,1109.85
639,1909.16
640,1666.15
767,1881.5
768,1181.79
769,2008.22
1023,1965.7
1024,555.665
1025,1946.48
1525,1902.83
1526,1888.95
1527,1898.98
