size,mflop
31,21327.5
32,67032.3
96,56990.7
97,52613.2
127,41511.1
128,58908.1
129,54577.3
191,46653.2
192,58730.2
229,54612.3
255,49505.9
256,58730.1
257,55167.2
319,49874.2
320,57100.2
321,56743.7
417,47837.3
479,46384.1
480,50147.3
511,42227.5
512,24266.2
639,44625.2
640,47463.3
767,44904.6
768,46497.1
769,43682
1023,39510
1024,25752
1025,42380.6
1525,47556.6
1526,47176.5
1527,46195.7
