size,mflop
31,1260.51
32,1321
96,1303.74
97,1273.14
127,1292.17
128,1177.79
129,1281.1
191,1286.06
192,1286.75
229,1281.11
255,1277.58
256,450.738
257,1261.54
319,1273.19
320,1274.09
321,1274.91
417,1299.21
479,1296.38
480,1294.31
511,1115.68
512,248.098
639,1270.19
640,1151.4
767,1242.29
768,373.741
769,1232.2
1023,1107.06
1024,223.503
1025,1095.98
1525,1196.35
1526,1214.8
1527,1199.7
